Date,PX_LAST
31-01-02,1130.21
28-02-02,1106.73
29-03-02,1147.39
30-04-02,1076.92
31-05-02,1067.14
28-06-02,989.81
31-07-02,911.62
30-08-02,916.07
30-09-02,815.28
31-10-02,885.76
29-11-02,936.31
31-12-02,879.82
31-01-03,855.7
28-02-03,841.15
31-03-03,848.18
30-04-03,916.92
30-05-03,963.59
30-06-03,974.5
31-07-03,990.31
29-08-03,1008.01
30-09-03,995.97
31-10-03,1050.71
28-11-03,1058.2
31-12-03,1111.92
30-01-04,1131.13
27-02-04,1144.94
31-03-04,1126.21
30-04-04,1107.31
31-05-04,1120.68
30-06-04,1140.84
30-07-04,1101.72
31-08-04,1104.24
30-09-04,1114.58
29-10-04,1130.2
30-11-04,1173.82
31-12-04,1211.92
31-01-05,1181.27
28-02-05,1203.6
31-03-05,1180.59
29-04-05,1156.85
31-05-05,1191.5
30-06-05,1191.33
29-07-05,1234.18
31-08-05,1220.33
30-09-05,1228.81
31-10-05,1207.01
30-11-05,1249.48
30-12-05,1248.29
31-01-06,1280.09
28-02-06,1280.66
31-03-06,1294.83
28-04-06,1310.61
31-05-06,1270.09
30-06-06,1270.2
31-07-06,1276.66
31-08-06,1303.82
29-09-06,1335.85
31-10-06,1377.94
30-11-06,1400.63
29-12-06,1418.3
31-01-07,1438.24
28-02-07,1406.82
30-03-07,1420.86
30-04-07,1482.37
31-05-07,1530.62
29-06-07,1503.35
31-07-07,1455.28
31-08-07,1473.99
28-09-07,1526.75
31-10-07,1549.38
30-11-07,1481.14
31-12-07,1468.36
31-01-08,1378.55
29-02-08,1330.63
31-03-08,1322.7
30-04-08,1385.59
30-05-08,1400.38
30-06-08,1280
31-07-08,1267.38
29-08-08,1282.83
30-09-08,1166.36
31-10-08,968.75
28-11-08,896.24
31-12-08,903.25
30-01-09,825.88
27-02-09,735.09
31-03-09,797.87
30-04-09,872.81
29-05-09,919.14
30-06-09,919.32
31-07-09,987.48
31-08-09,1020.63
30-09-09,1057.08
30-10-09,1036.2
30-11-09,1095.63
31-12-09,1115.1
29-01-10,1073.87
26-02-10,1104.49
31-03-10,1169.43
30-04-10,1186.69
31-05-10,1089.41
30-06-10,1030.71
30-07-10,1101.6
31-08-10,1049.33
30-09-10,1141.2
29-10-10,1183.26
30-11-10,1180.55
31-12-10,1257.64
31-01-11,1286.12
28-02-11,1327.22
31-03-11,1325.83
29-04-11,1363.61
31-05-11,1345.2
30-06-11,1320.64
29-07-11,1292.28
31-08-11,1218.89
30-09-11,1131.42
31-10-11,1253.3
30-11-11,1246.96
30-12-11,1257.61
31-01-12,1312.41
29-02-12,1365.68
30-03-12,1408.47
30-04-12,1397.91
31-05-12,1310.33
29-06-12,1362.16
31-07-12,1379.32
31-08-12,1406.58
28-09-12,1440.67
31-10-12,1412.16
30-11-12,1416.18
31-12-12,1426.19
31-01-13,1498.11
28-02-13,1514.68
29-03-13,1569.19
30-04-13,1597.57
31-05-13,1630.74
28-06-13,1606.28
31-07-13,1685.73
30-08-13,1632.97
30-09-13,1681.55
31-10-13,1756.54
29-11-13,1805.81
31-12-13,1848.36
31-01-14,1782.59
28-02-14,1859.45
31-03-14,1872.34
30-04-14,1883.95
30-05-14,1923.57
30-06-14,1960.23
31-07-14,1930.67
29-08-14,2003.37
30-09-14,1972.29
31-10-14,2018.05
28-11-14,2067.56
31-12-14,2058.9
30-01-15,1994.99
27-02-15,2104.5
31-03-15,2067.89
30-04-15,2085.51
29-05-15,2107.39
30-06-15,2063.11
31-07-15,2103.84
31-08-15,1972.18
30-09-15,1920.03
30-10-15,2079.36
30-11-15,2080.41
31-12-15,2043.94
29-01-16,1940.24
29-02-16,1932.23
31-03-16,2059.74
29-04-16,2065.3
31-05-16,2096.96
30-06-16,2098.86
29-07-16,2173.6
31-08-16,2170.95
30-09-16,2168.27
31-10-16,2126.15
30-11-16,2198.81
30-12-16,2238.83
31-01-17,2278.87
28-02-17,2363.64
31-03-17,2362.72
28-04-17,2384.2
31-05-17,2411.8
30-06-17,2423.41
31-07-17,2470.3
31-08-17,2471.65
29-09-17,2519.36
31-10-17,2575.26
30-11-17,2647.58
29-12-17,2673.61
31-01-18,2823.81
28-02-18,2713.83
30-03-18,2640.87
30-04-18,2648.05
31-05-18,2705.27
29-06-18,2718.37
31-07-18,2816.29
31-08-18,2901.52
28-09-18,2913.98
31-10-18,2711.74
30-11-18,2760.17
31-12-18,2506.85
31-01-19,2704.1
28-02-19,2784.49
29-03-19,2834.4
30-04-19,2945.83
31-05-19,2752.06
28-06-19,2941.76
31-07-19,2980.38
30-08-19,2926.46
30-09-19,2976.74
31-10-19,3037.56
29-11-19,3140.98
31-12-19,3230.78
31-01-20,3225.52
28-02-20,2954.22
31-03-20,2584.59
30-04-20,2912.43
29-05-20,3044.31
30-06-20,3100.29
31-07-20,3271.12
31-08-20,3500.31
30-09-20,3363
30-10-20,3269.96
30-11-20,3621.63
31-12-20,3756.07
29-01-21,3714.24
26-02-21,3811.15
31-03-21,3972.89
30-04-21,4181.17
31-05-21,4204.11
30-06-21,4297.5
30-07-21,4395.26
31-08-21,4522.68
30-09-21,4307.54
29-10-21,4605.38
30-11-21,4567
31-12-21,4766.18
31-01-22,4515.55
28-02-22,4373.94
31-03-22,4530.41
29-04-22,4131.93
31-05-22,4132.15
30-06-22,3785.38
29-07-22,4130.29
31-08-22,3955
30-09-22,3585.62
31-10-22,3871.98
30-11-22,4080.11
30-12-22,3839.5
31-01-23,4076.6
28-02-23,3970.15
31-03-23,4109.31
28-04-23,4169.48
31-05-23,4179.83
30-06-23,4450.38
31-07-23,4588.96
31-08-23,4507.66
29-09-23,4288.05
31-10-23,4193.8
30-11-23,4567.8
29-12-23,4769.83
31-01-24,4845.65
29-02-24,5096.27
29-03-24,5254.35
30-04-24,5035.69
31-05-24,5277.51
28-06-24,5460.48
31-07-24,5522.3
30-08-24,5648.4
30-09-24,5762.48
31-10-24,5705.45
29-11-24,6032.38
31-12-24,5881.63
31-01-25,6040.53
28-02-25,5954.5
31-03-25,5611.85
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
