,SPX,EMU,DE_1,DE_5,DE_10,DE_20,US_1,US_5,US_10,US_20
SPX,1.0,0.8442399244309073,0.22871622361633423,0.16432478245687313,0.07657171456682328,0.019035949181101287,0.08998998859430095,0.11102316574153373,0.12809517880091073,0.1894367142393442
EMU,0.8442399244309073,1.0,0.3231017973864007,0.2627890394584575,0.17148531861907396,0.08725870000540205,0.16961216622779157,0.2077671712054427,0.21234697348004097,0.24633552782369925
DE_1,0.22871622361633423,0.3231017973864007,1.0,0.7407151354528553,0.5682578988878232,0.43852599247577256,0.4609398147320204,0.49327246212173254,0.4574493926734337,0.43914723582562243
DE_5,0.16432478245687313,0.2627890394584575,0.7407151354528553,1.0,0.9221739044013656,0.7890275271445492,0.48696575577354406,0.7115442732475598,0.7062356327479518,0.6689044083486894
DE_10,0.07657171456682328,0.17148531861907396,0.5682578988878232,0.9221739044013656,1.0,0.9398785966924535,0.40772860859200155,0.7093317469354087,0.764263941699418,0.7479595397534162
DE_20,0.019035949181101287,0.08725870000540205,0.43852599247577256,0.7890275271445492,0.9398785966924535,1.0,0.30337237806244877,0.5943107201755979,0.6891031211915177,0.7083446155701666
US_1,0.08998998859430095,0.16961216622779157,0.4609398147320204,0.48696575577354406,0.40772860859200155,0.30337237806244877,1.0,0.6582048067383212,0.5065610186862549,0.4069592872056875
US_5,0.11102316574153373,0.2077671712054427,0.49327246212173254,0.7115442732475598,0.7093317469354087,0.5943107201755979,0.6582048067383212,1.0,0.9321752558849054,0.8184363858914757
US_10,0.12809517880091073,0.21234697348004097,0.4574493926734337,0.7062356327479518,0.764263941699418,0.6891031211915177,0.5065610186862549,0.9321752558849054,1.0,0.959881959194444
US_20,0.1894367142393442,0.24633552782369925,0.43914723582562243,0.6689044083486894,0.7479595397534162,0.7083446155701666,0.4069592872056875,0.8184363858914757,0.959881959194444,1.0
